,rpm,wat
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,2.0
13,0.0,2.0
14,0.0,2.0
15,0.0,2.0
16,0.0,2.0
17,0.0,2.0
18,0.0,2.0
19,0.0,2.0
20,0.0,2.0
21,0.0,2.0
22,0.0,2.0
23,0.0,2.0
24,0.0,2.0
25,0.0,2.0
26,0.0,2.0
27,0.0,2.0
28,0.0,2.0
29,0.0,2.0
30,0.0,2.0
31,0.0,2.0
32,0.0,2.0
33,0.0,2.0
34,0.0,2.0
35,0.0,2.0
36,0.0,2.0
37,0.0,2.0
38,0.0,2.0
39,0.0,2.0
40,0.0,2.0
41,0.0,2.0
42,0.0,2.0
43,0.0,2.0
44,0.0,2.0
45,0.0,2.0
46,14.0,169.0
47,14.0,169.0
48,14.0,169.0
49,14.0,169.0
50,14.0,169.0
51,14.0,169.0
52,14.0,169.0
53,14.0,169.0
54,14.0,169.0
55,14.0,169.0
56,14.0,169.0
57,14.0,169.0
58,14.0,169.0
59,14.0,169.0
60,14.0,169.0
61,14.0,169.0
62,14.0,169.0
63,14.0,169.0
64,14.0,169.0
65,14.0,169.0
66,14.0,169.0
67,14.0,169.0
68,14.0,169.0
69,14.0,169.0
70,14.0,169.0
71,14.0,169.0
72,14.0,169.0
73,14.0,169.0
74,14.0,169.0
75,93.0,532.0
76,93.0,532.0
77,93.0,532.0
78,93.0,532.0
79,93.0,532.0
80,93.0,532.0
81,93.0,532.0
82,93.0,532.0
83,93.0,532.0
84,93.0,532.0
85,93.0,532.0
86,93.0,532.0
87,93.0,532.0
88,93.0,532.0
89,93.0,532.0
90,93.0,532.0
91,93.0,532.0
92,93.0,532.0
93,93.0,532.0
94,93.0,532.0
95,93.0,532.0
96,93.0,532.0
97,93.0,532.0
98,93.0,532.0
99,93.0,532.0
100,93.0,532.0
101,93.0,532.0
102,93.0,532.0
103,93.0,532.0
104,119.0,382.0
105,119.0,382.0
106,119.0,382.0
107,119.0,382.0
108,119.0,382.0
109,119.0,382.0
110,119.0,382.0
111,119.0,382.0
112,119.0,382.0
113,119.0,382.0
114,119.0,382.0
115,119.0,382.0
116,119.0,382.0
117,119.0,382.0
118,119.0,382.0
119,119.0,382.0
120,119.0,382.0
121,119.0,382.0
122,119.0,382.0
123,119.0,382.0
124,119.0,382.0
125,119.0,382.0
126,119.0,382.0
127,119.0,382.0
128,119.0,382.0
129,119.0,382.0
130,119.0,382.0
131,119.0,382.0
132,119.0,382.0
133,115.0,392.0
134,115.0,392.0
135,115.0,392.0
136,115.0,392.0
137,115.0,392.0
138,115.0,392.0
139,115.0,392.0
140,115.0,392.0
141,115.0,392.0
142,115.0,392.0
143,115.0,392.0
144,115.0,392.0
145,115.0,392.0
146,115.0,392.0
147,115.0,392.0
148,115.0,392.0
149,115.0,392.0
150,115.0,392.0
151,115.0,392.0
152,115.0,392.0
153,115.0,392.0
154,115.0,392.0
155,115.0,392.0
156,115.0,392.0
157,115.0,392.0
158,115.0,392.0
159,115.0,392.0
160,115.0,392.0
161,115.0,392.0
162,105.0,802.0
163,105.0,802.0
164,105.0,802.0
165,105.0,802.0
166,105.0,802.0
167,105.0,802.0
168,105.0,802.0
169,105.0,802.0
170,105.0,802.0
171,105.0,802.0
172,105.0,802.0
173,105.0,802.0
174,105.0,802.0
175,105.0,802.0
176,105.0,802.0
177,105.0,802.0
178,105.0,802.0
179,105.0,802.0
180,105.0,802.0
181,105.0,802.0
182,105.0,802.0
183,105.0,802.0
184,105.0,802.0
185,105.0,802.0
186,105.0,802.0
187,105.0,802.0
188,105.0,802.0
189,105.0,802.0
190,105.0,802.0
191,105.0,802.0
192,105.0,802.0
193,105.0,802.0
194,105.0,802.0
195,105.0,802.0
196,105.0,802.0
197,111.0,888.0
198,111.0,888.0
199,111.0,888.0
200,111.0,888.0
201,111.0,888.0
202,111.0,888.0
203,111.0,888.0
204,111.0,888.0
205,111.0,888.0
206,111.0,888.0
207,111.0,888.0
208,111.0,888.0
209,111.0,888.0
210,111.0,888.0
211,111.0,888.0
212,111.0,888.0
213,111.0,888.0
214,111.0,888.0
215,111.0,888.0
216,111.0,888.0
217,111.0,888.0
218,111.0,888.0
219,111.0,888.0
220,111.0,888.0
221,111.0,888.0
222,111.0,888.0
223,111.0,888.0
224,111.0,888.0
225,112.0,828.0
226,112.0,828.0
227,112.0,828.0
228,112.0,828.0
229,112.0,828.0
230,112.0,828.0
231,112.0,828.0
232,112.0,828.0
233,112.0,828.0
234,112.0,828.0
235,112.0,828.0
236,112.0,828.0
237,112.0,828.0
238,112.0,828.0
239,112.0,828.0
240,112.0,828.0
241,112.0,828.0
242,112.0,828.0
243,112.0,828.0
244,112.0,828.0
245,112.0,828.0
246,112.0,828.0
247,112.0,828.0
248,112.0,828.0
249,112.0,828.0
250,112.0,828.0
251,112.0,828.0
252,112.0,828.0
253,112.0,828.0
254,118.0,851.0
255,118.0,851.0
256,118.0,851.0
257,118.0,851.0
258,118.0,851.0
259,118.0,851.0
260,118.0,851.0
261,118.0,851.0
262,118.0,851.0
263,118.0,851.0
264,118.0,851.0
265,118.0,851.0
266,118.0,851.0
267,118.0,851.0
268,118.0,851.0
269,118.0,851.0
270,118.0,851.0
271,118.0,851.0
272,118.0,851.0
273,118.0,851.0
274,118.0,851.0
275,118.0,851.0
276,118.0,851.0
277,118.0,851.0
278,118.0,851.0
279,118.0,851.0
280,118.0,851.0
281,118.0,851.0
282,118.0,851.0
283,115.0,842.0
284,115.0,842.0
285,115.0,842.0
286,115.0,842.0
287,115.0,842.0
288,115.0,842.0
289,115.0,842.0
290,115.0,842.0
291,115.0,842.0
292,115.0,842.0
293,115.0,842.0
294,115.0,842.0
295,115.0,842.0
296,115.0,842.0
297,115.0,842.0
298,115.0,842.0
299,115.0,842.0
300,115.0,842.0
301,115.0,842.0
302,115.0,842.0
303,115.0,842.0
304,115.0,842.0
305,115.0,842.0
306,115.0,842.0
307,115.0,842.0
308,115.0,842.0
309,115.0,842.0
310,115.0,842.0
311,115.0,842.0
312,116.0,869.0
313,116.0,869.0
314,116.0,869.0
315,116.0,869.0
316,116.0,869.0
317,116.0,869.0
318,116.0,869.0
319,116.0,869.0
320,116.0,869.0
321,116.0,869.0
322,116.0,869.0
323,116.0,869.0
324,116.0,869.0
325,116.0,869.0
326,116.0,869.0
327,116.0,869.0
328,116.0,869.0
329,116.0,869.0
330,116.0,869.0
331,116.0,869.0
332,116.0,869.0
333,116.0,869.0
334,116.0,869.0
335,116.0,869.0
336,116.0,869.0
337,116.0,869.0
338,116.0,869.0
339,116.0,869.0
340,116.0,869.0
341,116.0,869.0
342,116.0,869.0
343,116.0,869.0
344,116.0,869.0
345,116.0,869.0
346,116.0,869.0
347,117.0,842.0
348,117.0,842.0
349,117.0,842.0
350,117.0,842.0
351,117.0,842.0
352,117.0,842.0
353,117.0,842.0
354,117.0,842.0
355,117.0,842.0
356,117.0,842.0
357,117.0,842.0
358,117.0,842.0
359,117.0,842.0
360,117.0,842.0
361,117.0,842.0
362,117.0,842.0
363,117.0,842.0
364,117.0,842.0
365,117.0,842.0
366,117.0,842.0
367,117.0,842.0
368,117.0,842.0
369,117.0,842.0
370,117.0,842.0
371,117.0,842.0
372,117.0,842.0
373,117.0,842.0
374,117.0,842.0
375,117.0,825.0
376,117.0,825.0
377,117.0,825.0
378,117.0,825.0
379,117.0,825.0
380,117.0,825.0
381,117.0,825.0
382,117.0,825.0
383,117.0,825.0
384,117.0,825.0
385,117.0,825.0
386,117.0,825.0
387,117.0,825.0
388,117.0,825.0
389,117.0,825.0
390,117.0,825.0
391,117.0,825.0
392,117.0,825.0
393,117.0,825.0
394,117.0,825.0
395,117.0,825.0
396,117.0,825.0
397,117.0,825.0
398,117.0,825.0
399,117.0,825.0
400,117.0,825.0
401,117.0,825.0
402,117.0,825.0
403,117.0,825.0
404,120.0,875.0
405,120.0,875.0
406,120.0,875.0
407,120.0,875.0
408,120.0,875.0
409,120.0,875.0
410,120.0,875.0
411,120.0,875.0
412,120.0,875.0
413,120.0,875.0
414,120.0,875.0
415,120.0,875.0
416,120.0,875.0
417,120.0,875.0
418,120.0,875.0
419,120.0,875.0
420,120.0,875.0
421,120.0,875.0
422,120.0,875.0
423,120.0,875.0
424,120.0,875.0
425,120.0,875.0
426,120.0,875.0
